geo_id,race_eth,pop,case_count,hosp_count,death_count,total_hosp_incidental,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
98053,Hispanic,965.4792,226,,,,1358,206,15.16936672
98053,Multi/Other,785.1338,297,,,0,10697,288,2.692343648
98053,NHPI,34.1583,8,0,0,0,83,,
98053,Unknown,,145,0,0,0,8082,136,1.682751794
98053,White,15507.699,1715,59,12,30,22540,1536,6.814551908
98055,AIAN,89.0517,53,0,0,,486,53,10.90534979
98055,Asian,7066.4123,1764,31,,7,10824,1662,15.35476718
98055,Black,3412.7985,992,30,9,11,6462,906,14.02042711
98055,Hispanic,2586.8965,949,26,,,3985,889,22.30865747
98055,Multi/Other,1231.0748,487,10,,,22320,461,2.065412186
98055,NHPI,275.819,206,,,,870,188,21.6091954
98055,Unknown,,399,,0,0,17352,358,2.063162748
98055,White,9377.2524,2027,87,25,39,16357,1869,11.42630067
98056,AIAN,158.9456,45,,0,0,468,42,8.974358974
98056,Asian,8702.1345,2125,45,,10,16742,2000,11.94600406
98056,Black,2786.0953,741,22,,,5914,670,11.32904971
98056,Hispanic,6003.7162,2140,52,,17,10292,1900,18.46094054
98056,Multi/Other,1806.8743,606,12,,,33498,588,1.755328676
98056,NHPI,200.3603,130,,0,,815,124,15.21472393
98056,Unknown,,596,,0,,37900,557,1.469656992
98056,White,17782.6258,3278,91,26,45,30290,2947,9.729283592
98057,AIAN,109.4522,33,0,0,0,238,36,15.12605042
98057,Asian,2793.215,631,23,,,4697,573,12.19927613
98057,Black,3628.1318,693,27,,16,5628,644,11.44278607
98057,Hispanic,2123.0157,740,13,,,3491,671,19.22085362
98057,Multi/Other,853.944,211,,,,16998,208,1.223673373
98057,NHPI,132.7957,99,,0,0,472,91,19.27966102
98057,Unknown,,218,0,0,,6464,200,3.094059406
98057,White,5902.1688,1172,68,17,13,12428,1073,8.633730286
98058,AIAN,175.9335,67,,0,0,663,60,9.049773756
98058,Asian,8779.1168,2132,33,,11,12788,2008,15.70222083
98058,Black,3859.3452,1105,43,,10,7163,1031,14.39341058
98058,Hispanic,4362.1984,1565,30,,,7048,1442,20.45970488
98058,Multi/Other,2503.9343,700,15,,,34726,676,1.946668202
98058,NHPI,317.199,235,,,,1293,208,16.08662026
98058,Unknown,,572,,0,,16791,508,3.02543029
98058,White,23966.0165,4451,166,45,45,37669,4110,10.91082853
98059,AIAN,157.4863,64,,0,0,425,52,12.23529412
98059,Asian,9486.8928,2580,40,,14,19353,2390,12.34950654
98059,Black,1324.926,480,,,,3616,429,11.86393805
98059,Hispanic,3923.7519,1406,31,,12,5761,1252,21.73233814
